Result_Id,Player,Character,Matches_Won,Outcome
0,RB|Gachikuin,Rashid,3,Won
0,DNG|Tachikawa,Chun-Li,1,Lost
1,DNG|Itabashi,Abigail,2,Won
1,G8S|Pugera,Balrog,1,Lost
2,AZ|Kichipa-mu,Zangief,2,Won
2,DNG|John,Cody,1,Lost
3,BST|Daigo,Guile,3,Won
3,Saishunkan|Nemo,Urien,0,Lost
4,Nishikin,Blanka,2,Won
4,YHC-Mochi,Dhalsim,1,Lost
5,BST|Fuudo,Poison,2,Won
5,AXIZ|Shuto,Urien,1,Lost
6,GyoGun|Machabo,Cammy,3,Won
6,SNB|Higuchi,Guile,0,Lost
7,Victrix|Momochi,Akira,2,Won
7,GyoGun|Mizuha,Kolin,1,Lost
8,SNB|Fujimura,Cammy,2,Won
8,GyoGun|Mago,Karin,0,Lost
9,RB|Bonchan,Karin,3,Won
9,Akira,Cammy,0,Lost
10,FAV|Ryuusei,Urien,2,Won
10,Oniki,M. Bison,1,Lost
11,Rohto|Tokido,Urien,2,Won
11,CO|Dogura,M. Bison,0,Lost
12,Yanai,G,3,Won
12,SNB|Otani,Akuma,2,Lost
13,SNB|Fujimura,Cammy,2,Won
13,Saishunkan|Nemo,Urien,1,Lost
14,Victrix|Momochi,Akira,2,Won
14,AXIZ|Shuto,Urien,0,Lost
15,BST|Fuudo,R. Mika,3,Won
15,Akira,Cammy,0,Lost
16,BST|Daigo,Guile,2,Won
16,CO|Dogura,M. Bison,1,Lost
17,YHC-Mochi,Dhalsim,2,Won
17,GRPT|MOV,Chun-Li,1,Lost
18,RB|Gachikun,Rashid,3,Won
18,RB|Bonchan,Karin,0,Lost
19,G8S|Pugera,Balrog,2,Won
19,Rohto|Tokido,Urien,0,Lost
20,FAV|Sako,Menat,2,Won
20,HB|Kawano,Kolin,0,Lost
21,GyoGun|Mizuha,Kolin,3,Won
21,DNG|Tachikawa,Chun-Li,1,Lost
22,DNG|Itabashi,Abigail,2,Won
22,GyoGun|Mago,Cammy,1,Lost
23,GyoGun|Moke,Rashid,2,Won
23,DNG|John,Cody,0,Lost
24,Akira,Cammy,3,Won
24,SNB|Higuchi,Guile,0,Lost
25,CO|Dogura,M. Bison,2,Won
25,SNB|Otani,Ryu,1,Lost
26,Victrix|Momochi,Akira,2,Won
26,GRPT|MOV,Chun-Li,0,Lost
27,Rohto|Tokido,Urien,3,Won
27,Zangief,Zangief,0,Lost
28,FAV|Sako,Menat,2,Won
28,DNG|John,Rashid,0,Lost
29,DNG|Nauman,Sakura,2,Won
29,FAV|Ryuusei,Urien,1,Lost
30,Nishikin,Blanka,3,Won
30,GyoGun|Mago,Cammy,1,Lost
31,GyoGun|Machabo,Cammy,2,Won
31,AXIZ|Shuto,Urien,1,Lost
32,GyoGun|Moke,Rashid,2,Won
32,Saishunkan|Nemo,Urien/Gill,1,Lost
33,BST|Fuudo,Poison,3,Won
33,HB|Kawano,Kolin,1,Lost
34,RB|Gachikun,Rashid,2,Won
34,YHC-Mochi,Dhalsim,0,Lost
35,BST|Daigo,Guile,2,Won
35,G8S|Pugera,Balrog,1,Lost
36,RB|Gachikun,Rashid,3,Won
36,GRPT|MOV,Chun-Li,1,Lost
37,CO|Dogura,M. Bison,2,Won
37,G8S|Pugera,Balrog,0,Lost
38,HB|Kawano,Kolin,2,Won
38,Akira,Cammy,1,Lost
39,BST|Daigo,Guile,3,Won
39,GyoGun|Mago,Karin,2,Lost
40,YHC-Mochi,Dhalsim,2,Won
40,GyoGun|Machabo,Cammy,1,Lost
41,GyoGun|Moke,Rashid,2,Won
41,Moruto,Dan,1,Lost
42,SNB|Fujimura,Cammy,3,Won
42,RB|Bonchan,Karin,1,Lost
43,FAV|Sako,Menat,2,Won
43,Victrix|Momochi,Akira,1,Lost
44,Rohto|Tokido,Urien,2,Won
44,SNB|Higuchi,M. Bison,1,Lost
45,Saishunkan|Nemo,Urien,3,Won
45,DNG|John,Cody,2,Lost
46,Nishikin,Blanka,2,Won
46,DNG|Itabashi,Zangief,0,Lost
47,DNG|Nauman,Sakura,2,Won
47,AXIZ|Shuto,Urien,0,Lost
48,HB|Kawano,Kolin,3,Won
48,Saishunkan|Nemo,Urien,2,Lost
49,RB|Gachikun,Rashid,2,Won
49,Yanai,G,0,Lost
50,G8S|Pugera,Balrog,2,Won
50,Nishikin,Blanka,1,Lost
51,SNB|Otani,Akuma,3,Won
51,DNG|Tachikawa,Chun-Li,1,Lost
52,SNB|Higuchi,Guile,2,Won
52,DNG|Nauman,Ken,0,Lost
53,DNG|John,Cody,2,Won
53,SNB|Fujimura,Cammy,0,Lost
54,CO|Dogura,M. Bison,3,Won
54,GyoGun|Mizuha,Kolin,2,Lost
55,GRPT|MOV,Chun-Li,2,Won
55,GyoGun|Moke,Rashid,1,Lost
56,GyoGun|Mago,Cammy/Karin,2,Won
56,Akira,Cammy,1,Lost
57,Rohto|Tokido,Balrog/Urien,3,Won
57,YHC-Mochi,Dhalsim,1,Lost
58,BST|Fuudo,R. Mika,2,Won
58,FAV|Sako,Menat,1,Lost
59,FAV|Ryuusei,Urien,2,Won
59,BST|Daigo,Guile,1,Lost
60,Akira,Cammy,3,Won
60,AXIZ|Shuto,Urien,1,Lost
61,Oniki,M. Bison,2,Won
61,Yanai,G,0,Lost
62,Saishunkan|Nemo,Gill,2,Won
62,CO|Dogura,M. Bison,1,Lost
63,GyoGun|Mizuha,Kolin,3,Won
63,RB|Bonchan,Karin/Sagat,2,Lost
64,Rohto|Tokido,Urien,2,Won
64,GyoGun|Mago,Cammy,0,Lost
65,GyoGun|Machabo,Cammy,2,Won
65,FAV|Ryuusei,Urien,1,Lost
66,DNG|John,Cody,3,Won
66,BST|Daigo,Guile,0,Lost
67,YHC-Mochi,Dhalsim,2,Won
67,DNG|Tachikawa,Rashid,1,Lost
68,BST|Fuudo,Poison,2,Won
68,DNG|Itabashi,Abigail,1,Lost
69,G8S|Pugera,Balrog,3,Won
69,Victrix|Momochi,Akira,0,Lost
70,HB|Kawano,Kolin,2,Won
70,SNB|Fujimura,Cammy,0,Lost
71,SNB|Higuchi,Guile,2,Won
71,RB|Gachikun,Rashid,0,Lost
72,GyoGun|Mizuha,Kolin,3,Won
72,RB|Gachikun,Rashid,2,Lost
73,AZ|Kichipa-mu,Zangief,2,Won
73,GyoGun|Machabo,Cammy,1,Lost
74,HB|Kawano,Kolin,2,Won
74,GyoGun|Mago,Cammy,1,Lost
75,SNB|Fujimura,Cammy,3,Won
75,BST|Daigo,Guile,1,Lost
76,BST|Fuudo,Poison,2,Won
76,SNB|Higuchi,Guile,1,Lost
77,YHC-Mochi,Dhalsim,2,Won
77,Victrix|Momochi,Akira,1,Lost
78,CO|Dogura,M. Bison,3,Won
78,DNG|Itabashi,Zangief,2,Lost
79,DNG|John,Cody,2,Won
79,GRPT|MOV,Chun-Li,0,Lost
80,DNG|Nauman,Ken,2,Won
80,Akira,Cammy,1,Lost
81,Saishunkan|Nemo,Urien,3,Won
81,FAV|Sako,Menat,2,Lost
82,RB|Bonchan,Sagat,2,Won
82,AXIZ|Shuto,Urien,1,Lost
83,Yanai,G,2,Won
83,FAV|Ryuusei,Urien,1,Lost
84,Akira,Cammy,3,Won
84,Rohto|Tokido,Urien,0,Lost
85,CO|Dogura,M. Bison,2,Won
85,FAV|Sako,Menat,1,Lost
86,FAV|Ryuusei,Urien,2,Won
86,Oniki,M. Bison,0,Lost
87,SNB|Higuchi,Guile,3,Won
87,GyoGun|Mizuha,Kolin,0,Lost
88,Victrix|Momochi,Akira,2,Won
88,GyoGun|Mago,Karin,0,Lost
89,GyoGun|Moke,Rashid,2,Won
89,SNB|Otani,Ryu,0,Lost
90,Saishunkan|Nemo,Urien,3,Won
90,BST|Daigo,Guile,2,Lost
91,Moruto,Dan,2,Won
91,Nishikin,Blanka,0,Lost
92,Yanai,G,2,Won
92,BST|Fuudo,Poison,0,Lost
93,G8S|Pugera,Balrog,3,Won
93,DNG|Nauman,Sakura,0,Lost
94,DNG|John,Cody,2,Won
94,RB|Gachikun,Rashid,1,Lost
95,HB|Kawano,Kolin,2,Won
95,DNG|Itabashi,Abigail,1,Lost
96,GyoGun|Machabo,Necalli,3,Won
96,DNG|Itabashi,Abigail,1,Lost
97,GyoGun|Mago,Cammy,2,Won
97,DNG|John,Cody,0,Lost
98,GyoGun|Mizuha,N/A,2,Won
98,DNG|Nauman,Sakura,0,Lost
99,RB|Gachikun,Rashid,3,Won
99,Rohto|Tokido,Urien,1,Lost
100,RB|Bonchan,Karin,2,Won
100,G8S|Pugera,Balrog,0,Lost
101,HB|Kawano,Kolin,2,Won
101,FAV|Ryuusei,Urien,0,Lost
102,BST|Fuudo,R. Mika/Poison,3,Won
102,GRPT|MOV,Chun-Li,2,Lost
103,CO|Dogura,M. Bison,2,Won
103,YHC-Mochi,Dhalsim,0,Lost
104,Akira,Cammy,2,Won
104,BST|Daigo,Guile,1,Lost
105,SNB|Fujimura,Cammy,3,Won
105,Nishikin,Blanka,0,Lost
106,Victrix|Momochi,Akira,2,Won
106,AXIX|Shuto,Urien,1,Lost
107,SNB|Higuchi,Guile,2,Won
107,Saishunkan|Nemo,Gill,0,Lost
108,G8S|Pugera,Balrog,3,Won
108,BST|Daigo,Guile,1,Lost
109,YHC-Mochi,Dhalsim,2,Won
109,HB|Kawano,Kolin,1,Lost
110,RB|Gachikun,Rashid,2,Won
110,BST|Fuudo,Poison,0,Lost
111,GyoGun|Mago,Cammy,3,Won
111,Saishunkan|Nemo,Urien/Gill,2,Lost
112,Yanai,G,2,Won
112,(Rashid),,0,Lost
113,GyoGun|Mizuha,Kolin,2,Won
113,AXIZ|Shuto,Urien,0,Lost
114,Rohto|Tokido,Urien,3,Won
114,DNG|John,Cody,1,Lost
115,DNG|Itabashi,Zangief/Abigail,2,Won
115,FAV|Sako,Menat,1,Lost
116,DNG|Nauman,Sakura,2,Won
116,RB|Bonchan,Karin,1,Lost
117,CO|Dogura,M. Bison,3,Won
117,SNB|Otani,Ryu,0,Lost
118,Akira,Cammy,2,Won
118,SNB|Higuchi,Guile,1,Lost
119,Victrix|Momochi,Akira,2,Won
119,GRPT|MOV,Chun-Li,1,Lost
120,DNG|John,Cody,3,Won
120,AXIZ|Shuto,Urien,2,Lost
121,DNG|Nauman,Sakura,2,Won
121,Nishikin,Blanka,0,Lost
122,Saishunkan|Nemo,Urien,2,Won
122,DNG|Itabashi,Zangief,1,Lost
123,FAV|Sako,Menat,3,Won
123,Victrix|Momochi,Akira,2,Lost
124,SNB|Fujimura,Cammy,2,Won
124,RB|Bonchan,Karin,1,Lost
125,Rohto|Tokido,Urien/Balrog,2,Won
125,SNB|Higuchi,Guile,1,Lost
126,GyoGun|Mago,Cammy,3,Won
126,BST|Fuudo,Poison,0,Lost
127,GyoGun|Mizuha,Kolin,2,Won
127,Moruto,Dan,0,Lost
128,BST|Daigo,Guile,2,Won
128,GyoGun|Machabo,Cammy,1,Lost
129,HB|Kawano,Kolin,3,Won
129,Akira,Cammy,1,Lost
130,RB|Gachikun,Rashid,2,Won
130,CO|Dogura,M. Bison,0,Lost
131,G8S|Pugera,Balrog,2,Won
131,GRPT|MOV,Chun-Li,0,Lost
132,Rohto|Tokido,Balrog,3,Won
132,BST|Daigo,Guile,0,Lost
133,FAV|Ryuusei,Urien,2,Won
133,YHC-Mochi,Dhalsim,1,Lost
134,BST|Fuudo,Poison,2,Won
134,RB|Bonchan,Karin,0,Lost
135,GyoGun|Mizuha,Kolin,3,Won
135,Oniki,M. Bison,0,Lost
136,Akira,Cammy,2,Won
136,GyoGun|Moke,Rashid,0,Lost
137,CO|Dogura,M. Bison,2,Won
137,GyoGun|Mago,Karin,1,Lost
138,SNB|Higuchi,Guile,3,Won
138,DNG|Tachikawa,Chun-Li,1,Lost
139,Victrix|Momochi,Akira,2,Won
139,DNG|Itabashi,Abigail,1,Lost
140,SNB|Fujimura,Cammy,2,Won
140,DNG|John,Cody,0,Lost
141,RB|Gachikun,Rashid,3,Won
141,AXIZ|Shuto,Urien,2,Lost
142,Yanai,G,2,Won
142,(Balrog),,0,Lost
143,Nishikin,Blanka,2,Won
143,AZ|Kichipa-mu,Zangief,0,Lost
144,HB|Kawano,Kolin,3,Won
144,Victrix|Momochi,Akira,0,Lost
145,SNB|Fujimura,Cammy,2,Won
145,RB|Gachikun,Rashid,1,Lost
146,G8S|Pugera,Balrog,2,Won
146,SNB|Otani,Ryu,0,Lost
147,Moruto,Dan,3,Won
147,DNG|John,Cody,2,Lost
148,BST|Daigo,Guile,2,Won
148,DNG|Itabashi,Abigail,1,Lost
149,BST|Fuudo,Poison,2,Won
149,DNG|Tachikawa,Rashid/Chun-Li,0,Lost
150,GyoGun|Mago,Cammy,3,Won
150,FAV|Sako,Menat,2,Lost
151,Rohto|Tokido,Urien,2,Won
151,GyoGun|Machabo,Cammy,0,Lost
152,RB|Bonchan,Karin,2,Won
152,GyoGun|Moke,Rashid,1,Lost
153,Saishunkan|Nemo,Urien,3,Won
153,GRPT|MOV,Chun-Li,0,Lost
154,Akira,Cammy,2,Won
154,Nishikin,Blanka,0,Lost
155,Oniki,M. Bison,2,Won
155,AXIZ|Shuto,Urien,1,Lost
156,RB|Bonchan,Sagat,3,Won
156,Saishunkan|Nemo,Gill,1,Lost
157,AXIZ|Shuto,Urien,2,Won
157,Rohto|Tokido,Urien,1,Lost
158,FAV|Ryuusei,Urien,2,Won
158,Nishikin,Blanka,1,Lost
159,CO|Dogura,M. Bison,3,Won
159,DNG|Nauman,Sakura,2,Lost
160,DNG|Itabashi,Abigail,2,Won
160,GRPT|MOV,Chun-Li,0,Lost
161,DNG|John,Cody,2,Won
161,Akira,Cammy,1,Lost
162,BST|Fuudo,Poison,3,Won
162,SNB|Higuchi,Guile,2,Lost
163,SNB|Fujimura,Cammy,2,Won
163,YHC-Mochi,Dhalsim,0,Lost
164,Victrix|Momochi,Akira,2,Won
164,BST|Daigo,Guile,1,Lost
165,G8S|Pugera,Balrog,3,Won
165,GyoGun|Mago,Akira,2,Lost
166,RB|Gachikun,Rashid,2,Won
166,GyoGun|Machabo,Cammy,0,Lost
167,AZ|Kichipa-mu,Zangief,2,Won
167,GyoGun|Mizuha,Kolin,0,Lost
